"Please enter a valid DHL post number with 6 to 10 digits.","Bitte geben Sie eine gültige DHL-Postnummer mit 6 bis 10 Ziffern ein."
"DHL post number is required for lockers.","Für Packstationen ist die DHL-Postnummer erforderlich."
"DHL Post number is required for locker delivery.","Für die Zustellung an eine Packstation ist die DHL-Postnummer erforderlich."
"No shipping address selected","Keine Lieferadresse ausgewählt"
"Please enter both neighbor name and address.","Bitte geben Sie Name und Adresse des Nachbarn ein."
"Please enter a drop-off location with no more than %1 characters.","Bitte geben Sie einen Ablageort mit maximal %1 Zeichen ein."
"Please enter a drop-off location without HTML tags.","Bitte geben Sie einen Ablageort ohne HTML-Tags ein."
"Please enter a drop-off location without special characters.","Bitte geben Sie einen Ablageort ohne Sonderzeichen ein."
"Please do not use a parcel shop, post office, or similar pickup address as drop-off location.","Bitte verwenden Sie keinen Paketshop, keine Postfiliale oder ähnliche Abholadresse als Ablageort."
"More information","Weitere Informationen"
"%1 Excl. Tax","%1 exkl. MwSt."
"Please select a delivery day","Bitte wählen Sie einen Liefertag"
"No delivery days are currently available for this address.","Für diese Adresse sind derzeit keine Liefertage verfügbar."
"Remove delivery day","Liefertag entfernen"
"Please provide your delivery address before selecting a pickup point.","Bitte geben Sie Ihre Lieferadresse an, bevor Sie eine Abholstelle auswählen."
"Close location finder","Standortsuche schließen"
"Germany","Deutschland"
"Filter location types","Standorttypen filtern"
"Postoffice","Postfiliale"
"Show Post offices","Postfilialen anzeigen"
"Locker","Packstation"
"Show Lockers","Packstationen anzeigen"
"Servicepoint","Paketshop"
"Show Service points","Paketshops anzeigen"
"Close location details","Standortdetails schließen"
"Opening hours","Öffnungszeiten"
"Please enter a postal code and city to search for DHL pickup locations.","Bitte geben Sie Postleitzahl und Ort ein, um nach DHL Abholstellen zu suchen."
"DHL pickup locations could not be loaded.","DHL Abholstellen konnten nicht geladen werden."
"No DHL pickup locations were found for the specified address. Please try another address.","Für die angegebene Adresse wurden keine DHL Abholstellen gefunden. Bitte versuchen Sie eine andere Adresse."
"DHL pickup location map could not be loaded.","Die Karte für DHL Abholstellen konnte nicht geladen werden."
"Unable to save shipping information. Please check input data.","Die Versandinformationen konnten nicht gespeichert werden. Bitte prüfen Sie Ihre Eingaben."
"Your preferred drop-off location","Ihr gewünschter Ablageort"
"Remove drop-off location","Ablageort entfernen"
"Remove preferred neighbor","Nachbar entfernen"
